route_id,trip_id,direction_id,concat,stop_id,stop_code,stop_name,stop_full,stop_headsign,stop_sequence,stop_lat,stop_lon,trip_starts,trip_ends
4486_88211,4486_10216,1,4486_882111,8240DB004843,4843,Berwick Walk,4843 - Berwick Walk,Abbey St,1,53.4596635703922,-6.25039710736407,1,0
4486_88211,4486_10216,1,4486_882111,8240DB004905,4905,Ormond Avenue,4905 - Ormond Avenue,,2,53.4599640065109,-6.24514383459724,0,0
4486_88211,4486_10216,1,4486_882111,8240DB004906,4906,St Cronan's Avenue,4906 - St Cronan's Avenue,,3,53.4606535539984,-6.24130512103706,0,0
4486_88211,4486_10216,1,4486_882111,8240DB004907,4907,St Cronan's Lawn,4907 - St Cronan's Lawn,,4,53.4625385598703,-6.23991688632496,0,0
4486_88211,4486_10216,1,4486_882111,8240DB004908,4908,Ardcian Park,4908 - Ardcian Park,,5,53.4639437116856,-6.23951233424856,0,0
4486_88211,4486_10216,1,4486_882111,8240DB004909,4909,Cianlea,4909 - Cianlea,,6,53.4657190317896,-6.23983047708635,0,0
4486_88211,4486_10216,1,4486_882111,8240DB004921,4921,Laurelton,4921 - Laurelton,,7,53.4682543855357,-6.23683344936087,0,0
4486_88211,4486_10216,1,4486_882111,8240DB004922,4922,Applewood,4922 - Applewood,,8,53.4694062780667,-6.23085068387496,0,0
4486_88211,4486_10216,1,4486_882111,8240DB004923,4923,Jugback Terrace,4923 - Jugback Terrace,,9,53.4686904261313,-6.22803350665176,0,0
4486_88211,4486_10216,1,4486_882111,8240DB004924,4924,St Colmcille GAA,4924 - St Colmcille GAA,,10,53.4682558503679,-6.22056524956411,0,0
4486_88211,4486_10216,1,4486_882111,8240DB004958,4958,North Street Park,4958 - North Street Park,,11,53.4649970647638,-6.21720719637713,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003752,3752,Seatown Villas,3752 - Seatown Villas,,12,53.4624135038535,-6.21814382301445,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003751,3751,Carnegie Court,3751 - Carnegie Court,,13,53.4608930052176,-6.21864425962333,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003689,3689,Fingal Co Co,3689 - Fingal Co Co,,14,53.4589359455178,-6.22000628107609,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003691,3691,Swords Main Street,3691 - Swords Main Street,,15,53.4559770942195,-6.22169616486292,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003572,3572,Forest Road,3572 - Forest Road,,16,53.4543273513164,-6.22438522745494,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003701,3701,Ballintrane Wood,3701 - Ballintrane Wood,,17,53.4526169020687,-6.22722718341346,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003702,3702,River Valley Drive,3702 - River Valley Drive,,18,53.4519723495741,-6.23225306340109,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003088,3088,River Valley Heights,3088 - River Valley Heights,,19,53.4527270791061,-6.23710036947058,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003704,3704,River Valley Road,3704 - River Valley Road,,20,53.4532572952163,-6.23953282020935,0,0
4486_88211,4486_10216,1,4486_882111,8240DB003705,3705,Brookdale Drive,3705 - Brookdale Drive,,21,53.4528130716947,-6.24415881950421,0,0
4486_88211,4486_10216,1,4486_882111,8240DB000733,733,Forest View,733 - Forest View,,22,53.4494332874204,-6.24047392331501,0,0
4486_88211,4486_10216,1,4486_882111,8240DB006015,6015,Cherry Avenue,6015 - Cherry Avenue,,23,53.4483357564401,-6.2385770672463,0,0
