route_id,trip_id,trip_headsign,direction_id
4486_88174,4486_11484,Abbey St Lower,1
4486_88174,4486_11430,Howth Station,0
4486_88175,4492_604,Phoenix Pk,1
4486_88175,4492_567,Donnybrook Stadium,0
4486_88176,4486_563,Parnell Square,1
4486_88177,4492_8605,Heuston Station,1
4486_88177,4492_8414,Monkstown Ave,0
4486_88178,4486_1712,Grange Castle,0
4486_88178,4486_1919,Mountjoy Square,1
4486_88179,4492_2695,Eden Quay,1
4486_88179,4492_2490,D'Olier Street,0
4486_88179,4486_2696,Beaumont,1
4486_88179,4486_2489,Dundrum Luas,0
4486_88180,4486_3271,Ballycullen Road,0
4486_88180,4486_3549,Clongriffin,1
4486_88181,4492_4685,Ballinteer,0
4486_88181,4492_4909,Dublin Airport,1
4486_88181,4486_4908,O'Connell Street,0
4486_88181,4492_5136,O'Connell Street,1
4486_88182,4492_5145,Ballinteer,0
4486_88183,4486_5578,Parnell Square,1
4486_88183,4492_5187,St Pappin's Road,0
4486_88183,4492_5388,Merrion Square,1
4486_88183,4486_5356,Dublin Airport,0
4486_88184,4492_18516,Adamstown Station,1
4486_88184,4486_18515,Liffey Valley SC,0
4486_88185,4492_5776,Merrion Square,1
4486_88185,4486_5775,Liffey Valley,0
4486_88186,4486_6190,Jobstown,0
4486_88186,4486_6428,Eden Quay,1
4486_88186,4492_6193,Eden Quay,0
4486_88186,4492_6198,Clare Hall,1
4486_88187,4492_6851,Clare Hall,0
4486_88187,4492_6852,UCD,1
4486_88188,4492_12771,UCD,1
4486_88189,4492_6855,Malahide,1
4486_88189,4492_6854,UCD,0
4486_88190,4492_6856,Balbriggan,0
4486_88190,4486_6902,Skerries,0
4486_88190,4486_6951,Abbey St,1
4486_88191,4492_6962,Merrion Square W,1
4486_88191,4492_6957,Balbriggan,0
4486_88192,4492_6955,St Stephen's Green,1
4486_88192,4492_6954,Portrane,0
4486_88193,4492_6956,Skerries,0
4486_88194,4486_7222,Bachelor's Walk,1
4486_88194,4486_7090,Blanchardstown SC,0
4486_88194,4492_7093,Wilton Terrace,1
4486_88195,4486_7324,Damastown,0
4486_88195,4492_7424,Parnell Sq,1
4486_88195,4492_7326,Burlington Road,1
4486_88196,4486_7619,Parnell Sq,1
4486_88196,4492_7429,Damastown,0
4486_88196,4492_7525,Burlington Road,1
4486_88197,4492_7620,Damastown,0
4486_88197,4492_7625,O'Connell Street,1
4486_88197,4492_7626,Burlington Road,1
4486_88198,4486_12301,Bachelors Walk,1
4486_88198,4486_12237,Dunboyne,0
4486_88198,4492_12240,Burlington Road,1
4486_88199,4492_7633,Burlington Road,1
4486_88199,4492_7632,Damastown,0
4486_88200,4492_12303,Dunboyne,0
4486_88200,4492_12304,DCU,1
4486_88201,4492_8410,Ongar,0
4486_88201,4492_8412,Burlington Road,1
4486_88202,4486_7733,Ongar,0
4486_88202,4486_7842,Burlington Road,1
4486_88203,4486_8372,UCD,1
4486_88203,4486_8086,Ongar,0
4486_88204,4486_9025,Earlsfort Terrace,0
4486_88204,4486_9252,Charlestown,1
4486_88204,4492_9023,O'Connell St,0
4486_88205,4492_9253,Toberburr,0
4486_88205,4492_9268,O'Connell St,1
4486_88206,4492_9462,Tyrrelstown,0
4486_88206,4492_9542,Broombridge Luas,1
4486_88207,4486_9461,Parnell St,1
4486_88207,4492_9316,Hollystown,0
4486_88207,4486_9370,Tyrrelstown,0
4486_88208,4486_9761,Swords Manor,0
4486_88208,4486_9927,Abbey St,1
4486_88209,4492_10218,Swords Bus.Pk,0
4486_88209,4492_10220,Abbey St,1
4486_88210,4492_9975,Abbey St,1
4486_88210,4486_9973,Rolestown,0
