route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4486_88211,162,4486_10216,Abbey St,2083,1,4486_7778195_5041033,4486_313
4486_88213,162,4486_10333,Portmarnock,4873,0,4486_7778195_6042026,4486_325
4486_88213,162,4486_10337,Portmarnock,4865,0,4486_7778195_6042024,4486_326
4486_88213,162,4486_10443,Talbot Street,4855,1,4486_7778195_6042027,4486_328
4486_88216,162,4486_10636,Enniskerry,2280,0,4486_7778195_1044005,4486_340
4486_88223,162,4486_10750,Belarmine,117,0,4486_7778195_2047005,4486_354
4486_88223,162,4486_10803,Poolbeg St,139,1,4486_7778195_2047001,4486_361
4486_88224,162,4486_10881,The Square,5742,0,4486_7778195_3049010,4486_362
4486_88224,162,4486_10962,Pearse St,5724,1,4486_7778195_3049009,4486_367
4486_88226,162,4486_11069,Ringsend Road,412,1,4486_7778195_3423017,4486_374
4486_88229,162,4486_11216,Kiltipper,74,0,4486_7778195_2054006,4486_381
4486_88229,162,4486_11291,Pearse St,100,1,4486_7778195_2054002,4486_385
4486_88230,162,4486_11333,The Square,637,0,4486_7778195_3056005,4486_389
4486_88230,162,4486_11373,Ringsend Road,6710,1,4486_7778195_3056006,4486_391
4486_88174,162,4486_11430,Howth Station,4634,0,4486_7778195_6006002,4486_394
4486_88174,162,4486_11484,Abbey St Lower,4792,1,4486_7778195_6006005,4486_396
4486_88231,162,4486_11540,Red Cow Luas,3572,0,4486_7778195_4060005,4486_400
4486_88234,162,4486_11632,Ballymore,721,0,4486_7778195_3065008,4486_407
4486_88234,162,4486_11671,Poolbeg St,691,1,4486_7778195_3065009,4486_411
4486_88234,162,4486_11672,Poolbeg St,722,1,4486_7778195_3065008,4486_412
4486_88233,162,4486_11730,Citywest,704,0,4486_7778195_3065005,4486_419
4486_88233,162,4486_11780,Poolbeg St,5241,1,4486_7778195_3065004,4486_422
4486_88237,162,4486_11826,Newcastle,3530,0,4486_7778195_4068012,4486_426
4486_88237,162,4486_11876,Conyngham Rd,3510,1,4486_7778195_4068004,4486_435
4486_88237,162,4486_11878,Conyngham Rd,3531,1,4486_7778195_4068012,4486_435
4486_88235,162,4486_11932,Rathcoole,3537,0,4486_7778195_4068017,4486_443
4486_88235,162,4486_11982,Poolbeg St,3540,1,4486_7778195_4068018,4486_445
4486_88235,162,4486_11984,Conyngham Rd,3538,1,4486_7778195_4068017,4486_446
4486_88218,162,4486_12086,Brides Glen,5494,0,4486_7778195_2007020,4486_455
4486_88218,162,4486_12178,Parnell Square,5458,1,4486_7778195_2007010,4486_459
4486_88198,162,4486_12237,Dunboyne,3343,0,4486_7778195_9070008,4486_460
4486_88198,162,4486_12301,Bachelors Walk,3349,1,4486_7778195_9070004,4486_463
4486_88239,162,4486_12406,Dundrum,2341,0,4486_7778195_1074011,4486_472
4486_88239,162,4486_12504,Eden Quay,2310,1,4486_7778195_1074010,4486_476
4486_88240,162,4486_12633,Citywest,5697,0,4486_7778195_3027005,4486_479
4486_88240,162,4486_12634,Citywest,491,0,4486_7778195_3027014,4486_477
4486_88240,162,4486_12766,Ringsend Road,646,1,4486_7778195_3027034,4486_480
4486_88240,162,4486_12770,Ringsend Road,550,1,4486_7778195_3027037,4486_481
4486_88219,162,4486_12866,Loughlinstown Pk,5396,0,4486_7778195_2007019,4486_485
4486_88219,162,4486_12960,Parnell Square,5497,1,4486_7778195_2007027,4486_490
4486_88241,162,4486_13126,Kimmage,6379,0,4486_7778195_8083023,4486_499
4486_88241,162,4486_13128,Kimmage,6354,0,4486_7778195_8083015,4486_499
4486_88241,162,4486_13274,Harristown,6393,1,4486_7778195_8083009,4486_505
4486_88241,162,4486_13278,Harristown,6478,1,4486_7778195_8083002,4486_505
4486_88247,162,4486_13539,Limekiln Avenue,2683,0,4486_7778195_7009010,4486_515
4486_88247,162,4486_13541,Limekiln Avenue,2631,0,4486_7778195_7009014,4486_514
4486_88247,162,4486_13723,Charlestown,2600,1,4486_7778195_7009022,4486_518
4486_88266,162,4486_13906,Adamstown Station,786,0,4486_7778195_3421029,4486_525
4486_88266,162,4486_13910,Adamstown Station,807,0,4486_7778195_3421027,4486_525
4486_88266,162,4486_13913,Adamstown Station,783,0,4486_7778195_3421030,4486_525
4486_88266,162,4486_13916,Adamstown Station,795,0,4486_7778195_3421025,4486_525
4486_88266,162,4486_13918,Adamstown Station,778,0,4486_7778195_3421028,4486_525
4486_88266,162,4486_14047,Sandymount,775,1,4486_7778195_3421028,4486_529
4486_88266,162,4486_14048,Sandymount,787,1,4486_7778195_3421029,4486_529
4486_88266,162,4486_14051,Sandymount,808,1,4486_7778195_3421027,4486_529
